Designator,Mid X,Mid Y,Rotation,Layer
C10,131.41,-36.67044,0.0,bottom
C11,82.925,-44.675,0.0,bottom
C12,89.35,-44.55,270.0,bottom
C13,141.7,-36.87044,0.0,bottom
C14,146.08068,-42.47304,180.0,bottom
C15,146.08576,-38.08044,180.0,bottom
C16,124.375,-39.3,180.0,bottom
C17,144.0942,-31.8262,90.0,bottom
C18,87.02,-35.09044,0.0,bottom
C19,136.2837,-31.7754,0.0,bottom
C2,126.725,-36.3,270.0,bottom
C20,131.6228,-31.7754,180.0,bottom
C22,140.72,-43.67044,180.0,bottom
C3,121.1,-36.3,90.0,bottom
C4,112.88,-47.32044,180.0,bottom
C5,146.08,-45.42044,0.0,bottom
C6,140.72,-45.13044,0.0,bottom
C7,146.08576,-43.94116,0.0,bottom
C8,94.79,-38.42044,0.0,bottom
C9,135.37,-36.66044,180.0,bottom
D1,118.9,-35.8,90.0,bottom
D11,144.17,-43.15044,0.0,top
D12,144.17,-41.69044,0.0,top
D14,68.3034,-35.73718,0.0,top
D17,144.17,-38.75044,180.0,top
D18,144.17,-40.22044,180.0,top
D2,68.3,-50.36044,180.0,top
D3,68.3,-48.89044,0.0,top
D32,68.3034,-37.23578,0.0,top
D33,68.30848,-38.73438,0.0,top
D34,68.3161,-40.19996,0.0,top
D35,68.3161,-41.66554,0.0,top
D36,68.33134,-43.15906,0.0,top
D37,68.32118,-44.6602,0.0,top
D38,68.33134,-46.13594,0.0,top
D4,94.03,-39.40044,90.0,top
D5,68.29,-51.82044,180.0,top
D6,151.8666,-32.512,0.0,top
D8,144.17,-37.28044,180.0,top
IC1,141.6812,-31.8516,180.0,bottom
IC3,75.4027,-41.23374,90.0,bottom
J1,151.853,-40.20384,90.0,top
J2,135.91286,-28.20162,90.0,bottom
J3,90.27,-51.21044,270.0,top
J4,105.53,-50.77544,270.0,top
J5,85.10778,-28.20162,90.0,bottom
JP2,77.51,-51.24044,270.0,top
JP3,125.73,-31.1658,270.0,top
L1,143.1,-44.7,90.0,bottom
L2,148.0566,-32.4358,0.0,bottom
R1,154.9654,-31.5214,90.0,bottom
R10,139.319,-31.496,270.0,bottom
R11,68.29,-50.37044,0.0,bottom
R12,151.8666,-32.512,0.0,bottom
R15,136.21,-47.97044,90.0,bottom
R16,146.08,-41.01044,180.0,bottom
R2,68.3,-48.88044,180.0,bottom
R20,146.08,-39.54044,180.0,bottom
R22,142.09,-47.98044,90.0,bottom
R23,140.62,-47.97044,90.0,bottom
R28,68.29,-51.83044,0.0,bottom
R29,137.69,-47.97044,90.0,bottom
R3,76.22794,-31.5087,90.0,bottom
R30,139.16,-47.97044,90.0,bottom
R4,112.88,-45.86044,0.0,bottom
R5,94.79,-40.16044,180.0,bottom
R6,78.22184,-31.50108,90.0,bottom
R7,80.28178,-31.50108,90.0,bottom
R8,82.54746,-31.48838,90.0,bottom
R9,145.5674,-31.8262,270.0,bottom
RN3,71.38188,-43.90328,90.0,bottom
RN4,71.36664,-37.98,90.0,bottom
U2,89.67,-39.43044,180.0,bottom
U5,123.92072,-36.08848,90.0,bottom
U6,141.8846,-40.27344,0.0,bottom
U7,133.3938,-40.25584,270.0,bottom
X1,86.51,-45.69044,180.0,bottom
